 Experiment number: ,,#209
 Experiment date: ,,November-22-2022
 Animal Strain: ,,
 Animal Birthdate: ,,November-22-2022
 Color of Animal: ,,White
 Size of Animal: ,,Regular
Analysis Length:,,"0"""
Analysis Start@:,,"0"""
Dstance Traveled:,,    455.14(meters)

Behavior Profile-Behavior List
From Frame,To Frame,Length(frames),Behavior,Comment,
157829,157912,83,Twitch,Floor(Night),
157912,157977,65,Sleep,Floor(Night),
157977,157989,12,Twitch,Floor(Night),
157989,158045,56,Sleep,Floor(Night),
158045,158059,14,Twitch,Floor(Night),
158059,159008,949,Sleep,Floor(Night),
159008,159091,83,Twitch,Floor(Night),
159091,159122,31,Sleep,Floor(Night),
159122,159144,22,Twitch,,
159144,159177,33,Sleep,Floor(Night),
159177,159295,118,Twitch,Floor(Night),
159295,161575,2280,Sleep,Floor(Night),
161575,161662,87,Twitch,Floor(Night),
161662,162743,1081,Sleep,Floor(Night),
162743,163026,283,Twitch,Floor(Night),
163026,163067,41,Sleep,Floor(Night),
163067,163367,300,Twitch,Floor(Night),
163367,163368,1,Awaken,Floor(Night),
163368,166400,3032,Sleep,Floor(Night),
166400,166411,11,Twitch,Floor(Night),
166411,170575,4164,Sleep,Floor(Night),
170575,170599,24,Twitch,Floor(Night),
170599,178059,7460,Sleep,Floor(Night),
178059,178072,13,Twitch,Floor(Night),
178072,188652,10580,Sleep,Floor(Night),
188652,188669,17,Twitch,Floor(Night),
188669,189528,859,Sleep,Floor(Night),
189528,189724,196,Twitch,Floor(Night),
189724,191357,1633,Sleep,Floor(Night),
191357,191441,84,Twitch,Floor(Night),
191441,191565,124,Sleep,Floor(Night),
191565,191637,72,Twitch,Floor(Night),
191637,193355,1718,Sleep,Floor(Night),
193355,193407,52,Twitch,Floor(Night),
193407,197535,4128,Sleep,Floor(Night),
197535,197588,53,Twitch,Floor(Night),
197588,197632,44,Sleep,Floor(Night),
197632,197657,25,Twitch,Floor(Night),
197657,197704,47,Sleep,Floor(Night),
197704,197792,88,Twitch,Floor(Night),
197792,200277,2485,Sleep,Floor(Night),
200277,200335,58,Twitch,Floor(Night),
200335,200429,94,Sleep,Floor(Night),
200429,200467,38,Twitch,Floor(Night),
200467,201143,676,Sleep,Floor(Night),
201143,201176,33,Twitch,Floor(Night),
201176,205278,4102,Sleep,Floor(Night),
