 Experiment number: ,,#200
 Experiment date: ,,November-9-2022
 Animal Strain: ,,
 Animal Birthdate: ,,November-9-2022
 Color of Animal: ,,White
 Size of Animal: ,,Regular
Analysis Length:,,"163:59'18"""
Analysis Start@:,,"159:59'19"""
Dstance Traveled:,,    432.18(meters)

Behavior Profile-Behavior List
From Frame,To Frame,Length(frames),Behavior,Comment,
121295,121312,17,Unknown Behavior,RightWall(Night),
121312,121336,24,Remain Low,face-front/back,RightWall(Night),
121336,121358,22,Unknown Behavior,RightWall(Night),
121358,121388,30,Remain Low,RightWall(Night),
121388,121420,32,Unknown Behavior,RightWall(Night),
121420,121426,6,Turn,RightWall(Night),
121426,121432,6,Remain Low,RightWall(Night),
121432,121441,9,Stretch Body,RightWall(Night),
121441,121450,9,Remain Low,Floor(Night),
121450,121456,6,Turn,RightWall(Night),
121456,121462,6,Remain Low,RightWall(Night),
121462,121474,12,Walk Slowly,Floor(Night),
122053,122371,318,Groom,PLF,Floor(Night),
122371,122378,7,Turn,Floor(Night),
122378,122408,30,Remain Low,Floor(Night),
122408,122426,18,Stretch Body,Floor(Night),
122426,122464,38,Remain Low,Floor(Night),
122601,122944,343,Groom,B_L,LeftWall(Night),
122944,122993,49,Remain Low,Floor(Night),
122993,122999,6,Turn,Floor(Night),
122999,123005,6,Remain Low,Floor(Night),
123005,123011,6,Turn,Floor(Night),
123011,123017,6,Remain Low,Floor(Night),
123017,123038,21,Unknown Behavior,Floor(Night),
123038,123056,18,Remain Low,Floor(Night),
123056,123065,9,Turn,Floor(Night),
123065,123101,36,Remain Low,Floor(Night),
123101,123109,8,Unknown Behavior,Floor(Night),
123109,123127,18,Remain Low,Floor(Night),
123127,123133,6,Turn,Floor(Night),
123133,123139,6,Turn,face-front/back,Floor(Night),
123139,123307,168,Remain Low,Floor(Night),
123307,123310,3,Turn,Floor(Night),
123310,123855,545,Groom,PLF,Floor(Night),
123855,123880,25,Sniff,Floor(Night),
123880,123886,6,Come Down To Partially Reared,Floor(Night),
123886,123898,12,Remain Partially Reared,Floor(Night),
123898,123904,6,Come Down From Partially Reared,Floor(Night),
123904,123910,6,Turn,Floor(Night),
123910,123916,6,Turn,Floor(Night),
123916,123928,12,Remain Low,face-front/back,Floor(Night),
123928,123934,6,Turn,Floor(Night),
123934,123970,36,Remain Low,Floor(Night),
123970,123976,6,Turn,face-front/back,Floor(Night),
123976,124273,297,Remain Low,Floor(Night),
124273,124414,141,Pause,(Night),
124414,124504,90,Remain Low,,
124504,124510,6,Turn,face-front/back,Floor(Night),
124510,124516,6,Turn,Floor(Night),
124516,124570,54,Remain Low,Floor(Night),
124570,124576,6,Turn,face-front/back,Floor(Night),
124576,124582,6,Remain Low,Floor(Night),
124582,124588,6,Rear up Partially,Floor(Night),
124588,124594,6,Come Down From Partially Reared,Floor(Night),
124594,124600,6,Rear up Partially,Floor(Night),
124600,124624,24,Remain Partially Reared,Floor(Night),
124624,124630,6,Rear up Full From Partial,Floor(Night),
124630,124636,6,Come Down To Partially Reared,Floor(Night),
124636,124690,54,Remain Partially Reared,Floor(Night),
124690,124696,6,Come Down From Partially Reared,Floor(Night),
124696,124702,6,Remain Low,Floor(Night),
124702,124708,6,Turn,face-front/back,Floor(Night),
124708,124720,12,Remain Low,Floor(Night),
124720,124736,16,"(null)(RUtoPR, RUfromPR)",Floor(Night),
124736,124747,11,Remain Partially Reared,Floor(Night),
124747,124753,6,Rear up Full From Partial,Floor(Night),
124753,124758,5,Sniff,Floor(Night),
124758,124769,11,Jump,Floor(Night),
124769,124776,7,Remain Partially Reared,Floor(Night),
124776,124782,6,Come Down From Partially Reared,Floor(Night),
124782,124794,12,Remain Low,Floor(Night),
124794,124800,6,Turn,Floor(Night),
124800,124806,6,Turn,Floor(Night),
124806,124812,6,Turn,Floor(Night),
124812,125016,204,Remain Low,RightWall(Night),
125016,125022,6,Turn,RightWall(Night),
125022,125058,36,Remain Low,RightWall(Night),
125058,125064,6,Turn,RightWall(Night),
125064,125070,6,Turn,RightWall(Night),
125070,125076,6,Rear up Partially,RightWall(Night),
125076,125111,35,Sniff,RightWall(Night),
125111,125642,531,Groom,PLF,RightWall(Night),
125642,125667,25,Remain Low,RightWall(Night),
125667,125673,6,Turn,RightWall(Night),
125673,125697,24,Remain Low,RightWall(Night),
125697,125811,114,Stretch Body,RightWall(Night),
125811,125817,6,Stationary,RightWall(Night),
125817,125826,9,Turn,RightWall(Night),
125826,125844,18,Remain Low,RightWall(Night),
125844,125850,6,Turn,RightWall(Night),
125850,125874,24,Remain Low,Floor(Night),
125874,125895,21,Unknown Behavior,Floor(Night),
125895,125901,6,Walk Slowly,Floor(Night),
125901,125907,6,Remain Low,Floor(Night),
125907,125928,21,Stretch Body,Floor(Night),
125928,125937,9,Remain Low,Floor(Night),
125937,126023,86,Stretch Body,Floor(Night),
126023,126114,91,Remain Low,Floor(Night),
126114,126296,182,Pause,Floor(Night),
126296,126333,37,Remain Low,Floor(Night),
126333,126339,6,Turn,Floor(Night),
126339,126351,12,Remain Low,Floor(Night),
126351,126357,6,Turn,Floor(Night),
126357,126390,33,Remain Low,Floor(Night),
126390,126399,9,Turn,face-front/back,Floor(Night),
126399,126417,18,Remain Low,Floor(Night),
126417,126429,12,Turn,face-front/back,Floor(Night),
126429,126441,12,Remain Low,Floor(Night),
126441,126447,6,Turn,Floor(Night),
126447,126501,54,Remain Low,Floor(Night),
126501,126507,6,Turn,face-front/back,Floor(Night),
126507,126723,216,Remain Low,Floor(Night),
126723,126729,6,Turn,Floor(Night),
126729,126735,6,Remain Low,Floor(Night),
126735,126741,6,Turn,Floor(Night),
126741,126747,6,Turn,face-front/back,Floor(Night),
126747,126765,18,Remain Low,Floor(Night),
126765,126771,6,Turn,Floor(Night),
126771,126777,6,Turn,Floor(Night),
126777,126783,6,Turn,face-front/back,Floor(Night),
126783,126789,6,Turn,Floor(Night),
126789,126799,10,Remain Low,Floor(Night),
126799,126810,11,Turn,face-front/back,Floor(Night),
126810,126876,66,Remain Low,Floor(Night),
126876,126882,6,Turn,Floor(Night),
126882,126948,66,Remain Low,LeftWall(Night),
126948,126972,24,Unknown Behavior,LeftWall(Night),
126972,127329,357,Remain Low,Floor(Night),
127329,127338,9,Walk Right,Floor(Night),
127338,127344,6,Walk Slowly,Floor(Night),
127344,127396,52,Remain Low,Floor(Night),
127396,127413,17,Turn,face-front/back,Floor(Night),
127413,127461,48,Remain Low,Floor(Night),
127461,127467,6,Turn,face-front/back,Floor(Night),
127467,127473,6,Remain Low,Floor(Night),
127473,127479,6,Turn,face-front/back,Floor(Night),
127479,127491,12,Remain Low,Floor(Night),
127491,127497,6,Turn,Floor(Night),
127497,127557,60,Remain Low,Floor(Night),
127557,127563,6,Turn,face-front/back,Floor(Night),
127563,127569,6,Turn,Floor(Night),
127569,127575,6,Turn,Floor(Night),
127575,127593,18,Remain Low,Floor(Night),
127593,127617,24,Unknown Behavior,Floor(Night),
127617,127623,6,Remain Low,Floor(Night),
