 Experiment number: ,,#210
 Experiment date: ,,November-22-2022
 Animal Strain: ,,
 Animal Birthdate: ,,November-22-2022
 Color of Animal: ,,White
 Size of Animal: ,,Regular
Analysis Length:,,"0"""
Analysis Start@:,,"0"""
Dstance Traveled:,,    549.25(meters)

Behavior Profile-Behavior List
From Frame,To Frame,Length(frames),Behavior,Comment,
97017,97039,22,Unknown Behavior,RightWall(Night),
97039,97222,183,Remain Low,,
97222,97236,14,Unknown Behavior,RightWall(Night),
97236,97242,6,Stretch Body,RightWall(Night),
97242,97280,38,Unknown Behavior,,
97280,97292,12,Remain Low,RightWall(Night),
97292,97298,6,Rear up Partially,RightWall(Night),
97298,97316,18,Come Down From Partially Reared,RightWall(Night),
97316,97361,45,Remain Low,RightWall(Night),
97361,97373,12,Stretch Body,RightWall(Night),
97373,97466,93,Remain Low,RightWall(Night),
97466,97472,6,Stationary,RightWall(Night),
97472,97490,18,Stretch Body,RightWall(Night),
97490,97583,93,Unknown Behavior,RightWall(Night),
97583,97628,45,Stretch Body,RightWall(Night),
97628,97634,6,Remain Low,RightWall(Night),
97634,114218,16584,Sleep,Floor(Night),
114218,114263,45,Twitch,Floor(Night),
114263,127419,13156,Sleep,Floor(Night),
127419,127497,78,Twitch,Floor(Night),
127497,127732,235,Sleep,Floor(Night),
127732,127742,10,Twitch,Floor(Night),
127742,127790,48,Sleep,Floor(Night),
127790,127816,26,Twitch,Floor(Night),
127816,150528,22712,Sleep,OnBedding(Night),
150528,150590,62,Twitch,Floor(Night),
150590,150633,43,Sleep,Floor(Night),
150633,150933,300,Twitch,Floor(Night),
150933,150934,1,Awaken,Floor(Night),
150934,151041,107,Remain Low,Floor(Night),
151041,162785,11744,Sleep,Floor(Night),
162785,162805,20,Twitch,Floor(Night),
162805,162839,34,Sleep,Floor(Night),
162839,162855,16,Twitch,Floor(Night),
162855,162915,60,Sleep,Floor(Night),
162915,162927,12,Twitch,Floor(Night),
162927,163031,104,Sleep,Floor(Night),
163031,163050,19,Twitch,Floor(Night),
163050,163251,201,Sleep,Floor(Night),
163251,163336,85,Twitch,Floor(Night),
163336,215544,52208,Sleep,Floor(Night),
215544,215563,19,Twitch,Floor(Night),
215563,215637,74,Sleep,Floor(Night),
215637,215656,19,Twitch,Floor(Night),
215656,215722,66,Sleep,Floor(Night),
215722,215756,34,Twitch,Floor(Night),
215756,216595,839,Sleep,Floor(Night),
216595,216676,81,Twitch,Floor(Night),
216676,217306,630,Sleep,Floor(Night),
217306,217606,300,Twitch,Night,
217606,217820,214,Awaken,Floor(Night),
217820,229504,11684,Sleep,Floor(Night),
229504,229515,11,Awaken,Floor(Night),
229515,229527,12,Walk Right,LeftWall(Night),
229527,229533,6,Remain Low,LeftWall(Night),
229533,229539,6,Rear Up,RightWall(Night),
229539,229545,6,Come Down To Partially Reared,Night,
229545,229575,30,Remain Partially Reared,Night,
229575,229601,26,Unknown Behavior,,
229601,229607,6,Rear up Full From Partial,RightWall(Night),
229607,230711,1104,Sniff,RightWall(Night),
230711,236279,5568,Remain RearUp,RightWall(Night),
236279,236285,6,Come Down To Partially Reared,RightWall(Night),
236285,236291,6,Rear up Full From Partial,RightWall(Night),
236291,236561,270,Sniff,RightWall(Night),
236561,236567,6,Walk Left,Ceiling(Night),
236567,236573,6,Sniff,Night,
236573,236579,6,Remain RearUp,Night,
236579,236607,28,Unknown Behavior,,
236607,236739,132,Sniff,Ceiling(Night),
236739,236745,6,Walk Left,RightWall(Night),
236745,236757,12,Remain RearUp,Ceiling(Night),
236757,236781,24,Unknown Behavior,,
236781,236883,102,Sniff,Ceiling(Night),
236883,236895,12,Stretch Body,Ceiling(Night),
