 Experiment number: ,,#202
 Experiment date: ,,November-12-2022
 Animal Strain: ,,
 Animal Birthdate: ,,November-12-2022
 Color of Animal: ,,White
 Size of Animal: ,,Regular
Analysis Length:,,"171:59'16"""
Analysis Start@:,,"167:59'17"""
Dstance Traveled:,,    413.85(meters)

Behavior Profile-Behavior List
From Frame,To Frame,Length(frames),Behavior,Comment,
68385,68445,60,Remain Low,RightWall(Night),
68445,68451,6,Turn,RightWall(Night),
68451,68768,317,Remain Low,RightWall(Night),
68768,69229,461,Groom,PLF<-HdW,RightWall(Night),
69229,69230,1,Remain Low,RightWall(Night),
69230,69344,114,Pause,RightWall(Night),
69344,69350,6,Turn,RightWall(Night),
69350,69398,48,Remain Low,RightWall(Night),
69398,69404,6,Turn,RightWall(Night),
69404,69518,114,Remain Low,RightWall(Night),
69518,69524,6,Turn,RightWall(Night),
69524,69710,186,Remain Low,RightWall(Night),
69710,69716,6,Rear up Partially,RightWall(Night),
69716,69722,6,Come Down From Partially Reared,RightWall(Night),
69722,69740,18,Remain Low,face-front/back,RightWall(Night),
69740,69746,6,Rear up Partially,RightWall(Night),
69746,69752,6,Come Down From Partially Reared,RightWall(Night),
69752,69935,183,Remain Low,RightWall(Night),
69935,69941,6,Turn,RightWall(Night),
69941,70023,82,Remain Low,RightWall(Night),
70252,70720,468,Groom,PLF,RightWall(Night),
70720,70721,1,Remain Low,RightWall(Night),
70721,70819,98,Pause,RightWall(Night),
70819,70895,76,Remain Low,face-front/back,RightWall(Night),
70895,70910,15,Walk Left,Floor(Night),
70910,70958,48,Remain Low,Floor(Night),
70958,70964,6,Turn,Floor(Night),
70964,70970,6,Turn,Floor(Night),
70970,71363,393,Remain Low,Floor(Night),
71363,71369,6,Turn,Floor(Night),
71369,71375,6,Turn,face-front/back,Floor(Night),
71375,71381,6,Turn,Floor(Night),
71381,71387,6,Turn,face-front/back,Floor(Night),
71387,71393,6,Remain Low,Floor(Night),
71393,71399,6,Turn,face-front/back,Floor(Night),
71399,71405,6,Turn,Floor(Night),
71405,71435,30,Remain Low,Floor(Night),
71435,71441,6,Turn,face-front/back,Floor(Night),
71441,71447,6,Turn,Floor(Night),
71447,71453,6,Walk Slowly,Floor(Night),
71453,71459,6,Turn,face-front/back,Floor(Night),
71459,71465,6,Turn,Floor(Night),
71465,71495,30,Remain Low,Floor(Night),
71495,71501,6,Walk Slowly,Floor(Night),
71501,71642,141,Remain Low,LeftWall(Night),
71642,71657,15,Walk Slowly,Floor(Night),
71657,71843,186,Remain Low,Floor(Night),
71843,71870,27,Turn,face-front/back,Floor(Night),
71870,71876,6,Turn,Floor(Night),
71876,71897,21,Remain Low,Floor(Night),
71897,71903,6,Turn,Floor(Night),
71903,71909,6,Turn,face-front/back,Floor(Night),
71909,71915,6,Turn,Floor(Night),
71915,71921,6,Turn,face-front/back,Floor(Night),
71921,71927,6,Turn,Floor(Night),
71927,71933,6,Turn,Floor(Night),
71933,71939,6,Turn,face-front/back,Floor(Night),
71939,71945,6,Remain Low,Floor(Night),
71945,71957,12,Turn,face-front/back,Floor(Night),
71957,71963,6,Remain Low,Floor(Night),
71963,71969,6,Turn,Floor(Night),
71969,71975,6,Remain Low,Floor(Night),
71975,71981,6,Turn,face-front/back,Floor(Night),
71981,72023,42,Remain Low,Floor(Night),
72023,72035,12,Turn,face-front/back,Floor(Night),
72035,72041,6,Turn,Floor(Night),
72041,72065,24,Remain Low,LeftWall(Night),
72065,72086,21,Unknown Behavior,LeftWall(Night),
72086,72524,438,Remain Low,LeftWall(Night),
72524,72530,6,Turn,face-front/back,LeftWall(Night),
72530,72536,6,Remain Low,LeftWall(Night),
72536,72542,6,Turn,LeftWall(Night),
72542,72572,30,Remain Low,LeftWall(Night),
72572,72896,324,Pause,LeftWall(Night),
72896,72902,6,Turn,LeftWall(Night),
72902,72956,54,Remain Low,LeftWall(Night),
72956,72962,6,Turn,LeftWall(Night),
72962,73034,72,Remain Low,LeftWall(Night),
73034,73040,6,Turn,face-front/back,LeftWall(Night),
73040,73046,6,Turn,LeftWall(Night),
73046,73077,31,Remain Low,LeftWall(Night),
73077,73226,149,Pause,(Night),
73226,73232,6,Turn,face-front/back,LeftWall(Night),
73232,73454,222,Pause,LeftWall(Night),
73454,73460,6,Turn,LeftWall(Night),
73460,73514,54,Remain Low,LeftWall(Night),
73514,73523,9,Turn,face-front/back,LeftWall(Night),
73523,73532,9,Remain Low,LeftWall(Night),
73532,74742,1210,Sleep,LeftWall(Night),
74742,74760,18,Twitch,LeftWall(Night),
74760,76939,2179,Sleep,LeftWall(Night),
76939,76951,12,Twitch,LeftWall(Night),
76951,83370,6419,Sleep,LeftWall(Night),
83370,83383,13,Twitch,LeftWall(Night),
83383,85960,2577,Sleep,LeftWall(Night),
85960,85983,23,Twitch,LeftWall(Night),
85983,90911,4928,Sleep,LeftWall(Night),
90911,91011,100,Twitch,LeftWall(Night),
91011,91267,256,Sleep,LeftWall(Night),
91267,91456,189,Twitch,LeftWall(Night),
91456,97229,5773,Sleep,LeftWall(Night),
97229,97240,11,Twitch,LeftWall(Night),
97240,97450,210,Sleep,LeftWall(Night),
97450,97468,18,Twitch,LeftWall(Night),
97468,97564,96,Sleep,LeftWall(Night),
97564,97580,16,Twitch,,
97580,100105,2525,Sleep,LeftWall(Night),
100105,100151,46,Twitch,LeftWall(Night),
100151,100207,56,Sleep,LeftWall(Night),
100207,100466,259,Twitch,LeftWall(Night),
100466,100497,31,Sleep,LeftWall(Night),
100497,100570,73,Twitch,LeftWall(Night),
100570,101279,709,Sleep,LeftWall(Night),
101279,101318,39,Twitch,LeftWall(Night),
101318,101427,109,Sleep,LeftWall(Night),
101427,101684,257,Twitch,LeftWall(Night),
101684,105356,3672,Sleep,LeftWall(Night),
105356,105521,165,Twitch,LeftWall(Night),
105521,107446,1925,Sleep,LeftWall(Night),
107446,107462,16,Twitch,LeftWall(Night),
107462,110874,3412,Sleep,LeftWall(Night),
110874,110897,23,Twitch,LeftWall(Night),
110897,115244,4347,Sleep,LeftWall(Night),
115244,115267,23,Twitch,LeftWall(Night),
115267,115338,71,Sleep,LeftWall(Night),
115338,115349,11,Twitch,LeftWall(Night),
115349,122819,7470,Sleep,LeftWall(Night),
122819,122870,51,Twitch,LeftWall(Night),
122870,124862,1992,Sleep,LeftWall(Night),
124862,124985,123,Awaken,LeftWall(Night),
124985,124991,6,Rear up Partially,LeftWall(Night),
124991,124997,6,Remain Partially Reared,LeftWall(Night),
124997,125003,6,Come Down From Partially Reared,LeftWall(Night),
125003,125009,6,Turn,LeftWall(Night),
125009,125027,18,Unknown Behavior,LeftWall(Night),
125027,125033,6,Remain Low,LeftWall(Night),
125033,125039,6,Turn,LeftWall(Night),
125039,125063,24,Remain Low,LeftWall(Night),
125063,125069,6,Turn,face-front/back,LeftWall(Night),
125069,125075,6,Remain Low,LeftWall(Night),
125075,125081,6,Turn,LeftWall(Night),
125081,125106,25,Remain Low,LeftWall(Night),
125106,125621,515,Pause,(Night),
125621,125627,6,Turn,face-front/back,LeftWall(Night),
